,F1_bs_ts,recall_bs_ts,acc_ts
0,0.9464888747560808,0.9849759754784194,0.993245760588088
1,0.9451008295360004,0.9872822491730981,0.9881245225362874
2,0.9477038762434356,0.990729000921196,0.989895824617187
3,0.9411732291915494,0.9801041066578884,0.9874550203134068
4,0.9518984199851612,0.9949193613418273,0.9941136894690196
5,0.9510579930438386,0.9949170193344952,0.9924339872527108
6,0.923804292250064,0.9778189886817036,0.9551463686262032
7,0.9332542392340816,0.9742709077912796,0.9773918412875467
8,0.9522999741932232,0.9949188377566756,0.9949188377566756
9,0.9459654965633496,0.9823013203262972,0.994914828379184
10,0.9498522004864054,0.9932816463464528,0.9916506004411404
11,0.9522997765408594,0.9949186396550322,0.9949186396550322
12,0.9510720330237024,0.9932788296041308,0.9940976950209172
13,0.9514618790182792,0.993242824868212,0.9949161847288576
14,0.9506651280018577,0.9940984345545448,0.9924633827019066
15,0.9352815865658936,0.9802617864994708,0.9754715987359208
16,0.9257571019228344,0.9655330177128398,0.9711103357688204
17,0.9341185724022644,0.9723405370534636,0.9810873810104956
18,0.93762696161405,0.98691417820831,0.9735956875444278
19,0.9104030249988492,0.933194387293227,0.9734567848253368
20,0.9445339445794596,0.9875415949512336,0.9867287691425763
21,0.9231394543006338,0.9636960808479172,0.967692022110387
22,0.9478073092810236,0.9916396197033032,0.9891950780802878
23,0.949003332497011,0.9907924263674616,0.9924382282455996
24,0.9303157055806724,0.966018082734704,0.9798421405242442
25,0.9518823438811465,0.994084172841562,0.9949166736105324
26,0.9466594340749184,0.9892654066715127,0.9892654066715127
27,0.9367630194036054,0.9825832579557604,0.9761289927293524
28,0.9268745831208676,0.9587845559196708,0.9803105403315868
29,0.943513334530287,0.9881938492563652,0.9840385741778932
