,F1_tr,F1_ts,recall_tr,recall_ts,acc_tr,acc_ts
0,0.7245138733209214,0.7095924213031574,0.7271927343578141,0.7002394601262608,0.8211206131790924,0.8219061408738609
1,0.729747798546758,0.7182389379898587,0.7261608432439077,0.7158820560882417,0.8343631933900639,0.821272020511124
2,0.7299477106080858,0.7165522980034558,0.7368353578410949,0.7080727481848897,0.8213354292451145,0.8276615410469709
3,0.7277649835181844,0.7072070969774736,0.7252862565970186,0.7130987645401344,0.830946571903398,0.7997731140102099
4,0.7234081287101302,0.7072572943191332,0.7192063929457151,0.703867643857485,0.8288345506510003,0.8116475608735672
5,0.7299922208252664,0.7188592558609275,0.7143925121856404,0.7090413257814139,0.8507531783056159,0.8317611352637192
6,0.7279074075761253,0.7217949903596157,0.715193051903932,0.7134372161274545,0.8447018596699348,0.8327216377130741
7,0.7314961510238731,0.7333081155958396,0.7293101864609167,0.721850010806138,0.8342965220132394,0.8483616967233936
8,0.7323572987650712,0.7197287734574384,0.7219339551903062,0.7214585855708283,0.8460159572598503,0.8175288515858284
9,0.7165267124562148,0.7022244352423138,0.7096656645713766,0.7015916065948185,0.8254741973084667,0.8030389674046239
10,0.7374721344171349,0.7267310147939666,0.7378953564015985,0.716568425537959,0.836934752819648,0.8400632753309467
11,0.7243833166790588,0.7079430738425935,0.7235158446810528,0.7196710075394106,0.8254929526693342,0.7933842666442784
12,0.7280725887053259,0.7024143503949156,0.7204768711413887,0.7114858368463871,0.8379611616143752,0.7910533673217663
13,0.7193058744578399,0.7092026258973569,0.7224454922312585,0.7197341590514312,0.815328023999143,0.7960905521677387
14,0.7153704189857153,0.7149830059189608,0.706444918949806,0.7172747962704648,0.8270835533960073,0.8120688222092928
15,0.7306783407056593,0.7306945161686305,0.7308300517813401,0.7542633911802269,0.8304851837496917,0.802493805451203
16,0.7330842381886572,0.7433023031735706,0.7292405414572477,0.7299979182568872,0.8380284185535595,0.8608133540626791
17,0.729219435225696,0.7344277546179033,0.7265959776047043,0.7312693053659939,0.8325866456399412,0.838481179474508
18,0.7198894857707279,0.7219608747446912,0.7262052901949523,0.7245727930751437,0.8119581891477293,0.818649355029087
19,0.7357618565039376,0.7283506404257433,0.7398346288439503,0.7264374416768359,0.8306387121449185,0.8308020687956654
20,0.7276299666162882,0.71776603971746,0.7249156894898054,0.7303412739899934,0.8311163137171438,0.802231154130096
21,0.7265293058759955,0.6970577629383015,0.7307583696777635,0.7059609531586372,0.8211981241846198,0.7858854640112388
22,0.7358256768414064,0.7386784914973169,0.7303938067990576,0.7254393950003502,0.8428374704283041,0.8561275927609289
23,0.7297038989330816,0.7402251204996371,0.7241687467258329,0.7345113902490952,0.8368647840176632,0.8475964294488576
24,0.7199342071715573,0.7209736755449666,0.7224251506353221,0.7214384913383525,0.8167731460237903,0.8203806832349764
25,0.723901140906667,0.7253903341935128,0.7134374714533662,0.7282554583600029,0.8376532837581782,0.8217639033785411
26,0.7319943512679948,0.7219368149785561,0.7368519733758321,0.7291590022809212,0.8258905117158769,0.8128947584283488
27,0.7330098132577556,0.7240857075420599,0.7250383101469307,0.7228746220378314,0.8433819160462759,0.8256364950606377
28,0.734581175979812,0.7304874982290263,0.7360573747286968,0.7365563788423447,0.8327105796946728,0.8228833702155561
29,0.7181976781844024,0.7207383845304636,0.7161348679080503,0.7182361182803628,0.8208501662436095,0.823957364013197
