,F1_tr,F1_ts,recall_tr,recall_ts,precision_tr,precision_ts
0,0.6049730838246603,0.6131207847946045,0.5986808726534754,0.6165228113440198,0.6110823407560849,0.6090133982947625
1,0.6962428359159414,0.7396301849075463,0.6094388703084355,0.6542882404951371,0.8114794656110836,0.8495981630309989
2,0.6724560231574259,0.6663249615581753,0.6110886280857952,0.6126295947219604,0.7471548738248392,0.7295173961840629
3,0.6856868856389354,0.704145371947757,0.652670013692378,0.6731813246471228,0.7218576476527007,0.737217598097503
4,0.6451612903225806,0.6123627960716349,0.609019060901906,0.5882352941176471,0.6855049712192569,0.6377858002406739
5,0.6406212084445523,0.6391632771644393,0.5916629314208876,0.5907626208378088,0.6980433632998414,0.695322376738306
6,0.672656070029947,0.6030150753768845,0.6263406263406264,0.5561277033985582,0.7260069617105918,0.6577344701583435
7,0.6725344166102459,0.6698564593301436,0.6205747605164514,0.5994291151284491,0.7336287543082226,0.7581227436823105
8,0.6942837306179125,0.6479956068094453,0.6547359231776517,0.6014271151885832,0.7385524372230429,0.7015457788347206
9,0.6901128069011281,0.6772255598033862,0.6188020626735422,0.58435438265787,0.7796101949025488,0.8041504539559015
10,0.6930461250292671,0.6896551724137931,0.6460061108686164,0.6337271750805585,0.7470974255426552,0.7554417413572344
11,0.7044410413476263,0.6970784213223988,0.6361122086131964,0.623281393217232,0.788829005389515,0.7897793263646923
12,0.6805293005671077,0.6499261447562777,0.5953693495038588,0.583554376657825,0.7937285644292014,0.732519422863485
13,0.6466053220591892,0.6312098188194039,0.604370060437006,0.5800214822771214,0.694815606627472,0.6914212548015365
14,0.6121945198716366,0.6140878988561108,0.6045831301803998,0.6288532675709002,0.6196901549225388,0.5992949471210341
15,0.6778019849915274,0.6505026611472502,0.656968559361802,0.6387921022067364,0.6996501749125438,0.6618531889290012
16,0.6781885801793918,0.6697578567748583,0.6124061635717108,0.6012950971322849,0.7594316511513964,0.7549361207897793
17,0.6826434277414669,0.7096451774112944,0.6320035858359481,0.6820365033621518,0.7417148869016308,0.7388137356919876
18,0.6614883487847657,0.6927881885292447,0.6467417932386086,0.6770255271920089,0.6765761148129165,0.7084785133565622
19,0.7364590023549561,0.7732201791607732,0.6822689408964697,0.7062876830318691,0.799628079962808,0.8532778355879292
20,0.6554262645452387,0.6008583690987125,0.6130608618391826,0.582639714625446,0.7037225905150434,0.6194690265486726
21,0.7044410413476263,0.6862257583291895,0.6361122086131964,0.6267029972752044,0.788829005389515,0.7574094401756313
22,0.6817661862274079,0.7086197778952935,0.6475445458496306,0.6900102986611741,0.7194591984548527,0.7274701411509229
23,0.7081694052302707,0.7191961924907456,0.6620510601471224,0.6726013847675569,0.7608155146693187,0.7718501702610671
24,0.6745935452560058,0.6841261357562801,0.6432207311429894,0.6393606393606394,0.7088220295767466,0.7347876004592423
25,0.6519095110678667,0.617630544637844,0.6088141753748296,0.5440158259149357,0.7012035583464155,0.7133592736705577
26,0.693808720790171,0.6777713957495692,0.6454504706409682,0.6548279689234184,0.7496095783446122,0.7015457788347206
27,0.6538734896943852,0.7083939835031539,0.6049978079789566,0.6397896581945662,0.7109737248840804,0.7926167209554832
28,0.70545944731521,0.7029104887424492,0.6379520520113775,0.6268364348677767,0.7885484681064792,0.7990012484394508
29,0.7101144592384956,0.6878022568511554,0.6752554420257664,0.6458123107971746,0.7483998030526834,0.7347876004592423
