,F1_bs_tr,F1_bs_ts,recall_bs_tr,recall_bs_ts
0,0.5254142990204351,0.57064499746064,0.8134920634920635,0.9137931034482759
1,0.48221051132317333,0.4734299516908213,0.7698744769874477,0.7777777777777778
2,0.5489677414791816,0.530060120240481,0.8716814159292036,0.8518518518518519
3,0.49317338520840087,0.4659993096306524,0.7805907172995781,0.6521739130434783
4,0.4961548002976929,0.509580105992662,0.746268656716418,0.78125
5,0.5200276149608111,0.5044100119189511,0.8132780082987552,0.8070175438596491
6,0.46615668689000267,0.4746783465644676,0.7430830039525692,0.7391304347826086
7,0.4762010835408396,0.554846478025286,0.7757847533632287,0.8727272727272727
8,0.5021163593227651,0.5233926954421975,0.772,0.8095238095238095
9,0.457390619929715,0.453493356193742,0.7250996015936255,0.7419354838709677
