,F1_bs_tr,F1_bs_ts,recall_bs_tr,recall_bs_ts
0,0.6322817882717244,0.6285714285714286,0.9519230769230769,0.9166666666666666
1,0.6622073578595317,0.647887323943662,0.99,0.9583333333333334
2,0.6582875567231908,0.6506024096385542,0.9905660377358491,0.9642857142857143
3,0.6625386996904025,0.6521739130434783,0.9907407407407407,0.967741935483871
4,0.6141544743109901,0.5990639625585024,0.9313725490196079,0.8888888888888888
5,0.662379421221865,0.6506024096385542,0.9903846153846154,0.9642857142857143
6,0.6490943408722143,0.6312328767123287,0.9801980198019802,0.96
7,0.6413512513870052,0.63384903891233,0.9622641509433962,0.9629629629629629
8,0.662379421221865,0.6440677966101694,0.9903846153846154,0.95
9,0.6577181208053691,0.6486486486486487,0.98,0.96
