,F1_bs_tr,F1_bs_ts,recall_bs_tr,recall_bs_ts
0,0.65814696485623,0.6329113924050632,0.9809523809523809,0.9259259259259259
1,0.6492874070707398,0.5964912280701754,0.970873786407767,0.85
2,0.654396844902975,0.6511627906976745,0.981651376146789,0.9655172413793104
3,0.6456501232389008,0.65,0.9716981132075472,0.9629629629629629
4,0.6622516556291391,0.65,0.9900990099009901,0.9629629629629629
5,0.6542828859255809,0.6285714285714286,0.9814814814814815,0.9166666666666666
6,0.6624203821656051,0.647887323943662,0.9904761904761905,0.9583333333333334
7,0.6146663554206823,0.61667488899852,0.9320388349514563,0.9259259259259259
8,0.658043705132665,0.6521739130434783,0.9902912621359223,0.967741935483871
9,0.65814696485623,0.6470588235294118,0.9809523809523809,0.9565217391304348
