,F1_bs_tr,F1_bs_ts,recall_bs_tr,recall_bs_ts
0,0.44464888537453234,0.46253469010175763,0.7245762711864406,0.704225352112676
1,0.4271057171393118,0.38685304117869285,0.711864406779661,0.6530612244897959
2,0.4378378378378378,0.49940617577197144,0.6923076923076923,0.725
3,0.4352991090369114,0.4090521961309162,0.7154811715481172,0.6949152542372882
4,0.42548145130193743,0.41005000609830466,0.6812749003984063,0.6507936507936508
5,0.41539834756139427,0.37251026303785917,0.6790123456790124,0.5932203389830508
6,0.4281102448665861,0.4357927216625828,0.6812749003984063,0.6712328767123288
7,0.44723784320211707,0.42383469485824127,0.7027027027027027,0.6774193548387096
8,0.4290430495642222,0.39933483786673,0.6951219512195121,0.6833333333333333
9,0.44436693407743294,0.4334347100951633,0.7109375,0.6714285714285714
