,train_recall,test_recall,train_f1,test_f1,train_acc,test_acc
0,0.7055793991416309,0.7053206002728513,0.7771824771509613,0.7774436090225563,0.7503090234857849,0.7560774618871035
1,0.716365754222481,0.7122905027932961,0.7834394904458598,0.7753705815279361,0.7598446053328625,0.7564894932014833
2,0.7178665112212183,0.6979591836734694,0.7842700206973411,0.7699812382739212,0.7607275295779622,0.7474248042851257
3,0.7062773722627738,0.713259307642064,0.7760667308309271,0.7893024936754608,0.7534875507681441,0.7597857437165224
4,0.7080816796088583,0.7010033444816054,0.7793605571383351,0.7765839199703594,0.753840720466184,0.7515451174289246
5,0.7109283196239718,0.7344398340248963,0.779639175257732,0.7904726460736882,0.7584319265407028,0.7680263700041203
6,0.7230632235084595,0.7147912243453645,0.7835316822129301,0.774243004982752,0.7623167932191418,0.7573135558302431
7,0.7116883116883117,0.7098092643051771,0.7813688212927755,0.7816954238559639,0.7563129083524633,0.7601977750309024
8,0.7168989547038328,0.6966598500340832,0.7835607743573468,0.7701582516955539,0.7591382659367826,0.7486608982282653
9,0.7160493827160493,0.7017195767195767,0.783405692233478,0.7744525547445256,0.7621402083701219,0.7453646477132262
10,0.7158856469201297,0.7140902872777017,0.7811545264511979,0.7788138754196196,0.7596680204838425,0.7556654305727235
11,0.7137492778740613,0.6969486823855756,0.7806033801927026,0.7677616501145913,0.7547236447112837,0.7494849608570251
12,0.7082251082251082,0.7092150170648465,0.7816531294792164,0.7707715133531158,0.757902171993643,0.7453646477132262
13,0.7154566744730679,0.7091767881241565,0.7810802173218281,0.7828677839851024,0.7580787568426629,0.7597857437165224
14,0.7163406214039125,0.7104708362614195,0.7852412488174076,0.7770945426594927,0.7594914356348226,0.7610218376596621
15,0.7119281991893457,0.7013513513513514,0.7824980111376293,0.7706013363028954,0.7586085113897227,0.7453646477132262
16,0.7079542119166422,0.7351535836177474,0.7763115545542324,0.7968923418423973,0.7545470598622638,0.7737948084054388
17,0.7053807703616584,0.7241838774150566,0.7743705616526791,0.7902580879680117,0.7531343810701042,0.7622579316028019
18,0.7101699798329012,0.6994645247657296,0.7809282433074609,0.7749351130886171,0.7557831538054035,0.749896992171405
19,0.7150772820064158,0.7083333333333334,0.7810160853639114,0.779992478375329,0.7571958325975632,0.7589616810877626
20,0.7019425920556683,0.7115256495669554,0.7741007194244603,0.7795620437956206,0.7504856083348048,0.7511330861145447
21,0.7106733313731256,0.6957364341085271,0.7757984272187449,0.779587404994571,0.7533109659191242,0.7490729295426453
22,0.7139092240117131,0.7147673634524613,0.7826645264847512,0.7814227792112054,0.7609041144269821,0.7556654305727235
23,0.7110211165750651,0.7086776859504132,0.7810613282491261,0.7736842105263158,0.7566660780505032,0.7519571487433044
24,0.7146566647432199,0.6980497646267653,0.7831172937085046,0.7769461077844311,0.757725587144623,0.7544293366295839
25,0.7070063694267515,0.7070365358592693,0.7765940531086023,0.7775297619047619,0.7518982871269645,0.7536052740008241
26,0.7156017830609213,0.7244201909959073,0.7794141446836057,0.7875417130144605,0.7593148507858026,0.7639060568603214
27,0.7231803566208711,0.6984993178717599,0.7876472460999682,0.7728301886792452,0.7644358114073813,0.7519571487433044
28,0.7134485789627893,0.7262228260869565,0.781199871671479,0.793026706231454,0.7591382659367826,0.7700865265760197
29,0.7146240378922439,0.7354972375690608,0.779967689822294,0.794479671764267,0.7594914356348226,0.772970745776679
