,cv_score
0,0.9166666666666666
1,0.8888888888888888
2,0.9166666666666666
3,1.0
4,1.0
5,0.8888888888888888
6,0.8888888888888888
7,0.9166666666666666
8,1.0
9,1.0
10,1.0
11,1.0
12,0.9166666666666666
13,1.0
14,0.9166666666666666
15,0.9166666666666666
16,0.8888888888888888
17,0.8888888888888888
18,0.9166666666666666
19,0.8888888888888888
20,0.9166666666666666
21,1.0
22,0.8333333333333334
23,1.0
24,0.9166666666666666
25,1.0
26,0.9166666666666666
27,0.9166666666666666
28,1.0
29,0.8888888888888888
