,train_recall,test_recall,train_f1,test_f1,train_acc,test_acc,cv_score
0,0.6714285714285714,0.6,0.7058823529411765,0.6428571428571429,0.7619047619047619,0.7222222222222222,0.8266666666666665
1,0.6,0.7666666666666666,0.6486486486486487,0.761904761904762,0.6904761904761905,0.8611111111111112,0.7366666666666666
2,0.65,0.6,0.6984126984126985,0.6666666666666666,0.7738095238095238,0.7222222222222222,0.7866666666666667
3,0.6365853658536585,0.6789473684210526,0.676923076923077,0.7333333333333334,0.75,0.7777777777777778,0.8033333333333332
4,0.5186046511627908,0.7428571428571429,0.5901639344262295,0.5833333333333334,0.7023809523809523,0.7222222222222222,0.8133333333333332
5,0.6749999999999999,0.55,0.696969696969697,0.6206896551724138,0.7619047619047619,0.6944444444444444,0.7733333333333333
6,0.6641025641025641,0.6238095238095238,0.6875,0.6666666666666667,0.7619047619047619,0.6944444444444444,0.7566666666666666
7,0.6681818181818182,0.6,0.7142857142857143,0.6666666666666666,0.7619047619047619,0.7777777777777778,0.8366666666666666
8,0.6454545454545454,0.6,0.6956521739130435,0.64,0.75,0.75,0.81
9,0.6,0.7666666666666666,0.6461538461538461,0.8,0.7261904761904762,0.8333333333333334,0.83
10,0.6348837209302325,0.6294117647058823,0.6764705882352942,0.6923076923076924,0.7380952380952381,0.7777777777777778,0.7833333333333333
11,0.6581395348837209,0.6294117647058823,0.7058823529411763,0.6666666666666667,0.7619047619047619,0.75,0.83
12,0.6749999999999999,0.6,0.7301587301587301,0.6666666666666666,0.7976190476190477,0.7222222222222222,0.83
13,0.6238095238095238,0.7428571428571429,0.6875000000000001,0.7200000000000001,0.7619047619047619,0.6111111111111112,0.81
14,0.6,0.7428571428571429,0.6571428571428571,0.7200000000000001,0.7142857142857143,0.8055555555555556,0.7933333333333333
15,0.7046511627906976,0.7428571428571429,0.7323943661971831,0.7200000000000001,0.7738095238095238,0.6944444444444444,0.8233333333333333
16,0.6609756097560976,0.6789473684210526,0.6969696969696971,0.6875,0.7619047619047619,0.7222222222222222,0.78
17,0.6641025641025641,0.5761904761904761,0.676923076923077,0.6451612903225806,0.75,0.6944444444444444,0.78
18,0.6,0.75,0.6451612903225806,0.787878787878788,0.7380952380952381,0.8055555555555556,0.8133333333333332
19,0.6217391304347826,0.7428571428571429,0.6857142857142856,0.782608695652174,0.7380952380952381,0.8611111111111112,0.84
20,0.5615384615384615,0.8142857142857143,0.6101694915254238,0.8333333333333333,0.7261904761904762,0.8333333333333334,0.8033333333333332
21,0.6333333333333333,0.7,0.6857142857142858,0.7499999999999999,0.7380952380952381,0.8333333333333334,0.8166666666666665
22,0.6,0.7875,0.6567164179104478,0.7857142857142857,0.7261904761904762,0.8333333333333334,0.81
23,0.6813953488372093,0.6882352941176471,0.7142857142857142,0.7142857142857143,0.7619047619047619,0.7777777777777778,0.7866666666666666
24,0.6217391304347826,0.7428571428571429,0.6666666666666667,0.782608695652174,0.7142857142857143,0.8611111111111112,0.77
25,0.6609756097560976,0.6263157894736842,0.7076923076923077,0.6896551724137931,0.7738095238095238,0.75,0.8366666666666666
26,0.7046511627906976,0.5705882352941176,0.7536231884057971,0.6399999999999999,0.7976190476190477,0.75,0.83
27,0.6476190476190476,0.6,0.6764705882352942,0.6666666666666666,0.7380952380952381,0.75,0.7966666666666665
28,0.6675675675675675,0.6347826086956522,0.6999999999999998,0.6060606060606061,0.7857142857142857,0.6388888888888888,0.7966666666666665
29,0.5523809523809524,0.7666666666666666,0.6229508196721312,0.8,0.7261904761904762,0.8333333333333334,0.8433333333333333
