,train_recall,test_recall,train_f1,test_f1,train_acc,test_acc,cv_score
0,0.3333333333333333,0.0,0.5,0.0,0.7142857142857143,0.3333333333333333,0.8055555555555555
1,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8055555555555555
2,0.0,1.0,0.0,1.0,0.42857142857142855,1.0,0.7777777777777777
3,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8333333333333334
4,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8055555555555555
5,0.2,0.0,0.33333333333333337,0.0,0.42857142857142855,1.0,0.8055555555555555
6,0.0,0.3333333333333333,0.0,0.5,0.7142857142857143,0.3333333333333333,0.7777777777777777
7,0.0,0.5,0.0,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.8055555555555555
8,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.7777777777777777
9,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.7777777777777778
10,0.2,0.0,0.33333333333333337,0.0,0.42857142857142855,1.0,0.7777777777777777
11,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8055555555555555
12,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8055555555555555
13,0.0,1.0,0.0,1.0,0.42857142857142855,1.0,0.8055555555555555
14,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8055555555555555
15,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.7777777777777777
16,0.0,0.3333333333333333,0.0,0.5,0.7142857142857143,0.3333333333333333,0.8055555555555555
17,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8055555555555555
18,0.25,0.0,0.4,0.0,0.5714285714285714,0.3333333333333333,0.8055555555555555
19,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8055555555555555
20,0.0,0.5,0.0,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.8055555555555555
21,0.2,0.0,0.33333333333333337,0.0,0.42857142857142855,1.0,0.7222222222222222
22,0.25,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8055555555555555
23,0.0,0.5,0.0,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7777777777777777
24,0.2,0.0,0.33333333333333337,0.0,0.42857142857142855,0.6666666666666666,0.8055555555555555
25,0.2,0.0,0.33333333333333337,0.0,0.42857142857142855,1.0,0.8055555555555555
26,0.3333333333333333,0.0,0.5,0.0,0.7142857142857143,0.3333333333333333,0.8055555555555555
27,0.25,0.0,0.4,0.0,0.5714285714285714,0.3333333333333333,0.8055555555555555
28,0.2,0.0,0.33333333333333337,0.0,0.42857142857142855,0.6666666666666666,0.8333333333333334
29,0.0,0.5,0.0,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7777777777777777
