,train_recall,test_recall,train_f1,test_f1,train_acc,test_acc,cv_score
0,0.75,0.0,0.75,0.0,0.7142857142857143,0.6666666666666666,0.8055555555555555
1,1.0,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.8333333333333334
2,0.6,1.0,0.7499999999999999,1.0,0.7142857142857143,1.0,0.8333333333333334
3,0.6,1.0,0.7499999999999999,1.0,0.7142857142857143,1.0,0.611111111111111
4,1.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.6666666666666666,0.6944444444444443
5,1.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.6666666666666666,0.7777777777777777
6,0.6,1.0,0.7499999999999999,1.0,0.7142857142857143,1.0,0.6944444444444443
7,1.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.6666666666666666,0.8055555555555555
8,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6944444444444445
9,1.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.6666666666666666,0.8055555555555555
10,1.0,0.0,0.4,0.0,0.5714285714285714,0.6666666666666666,0.6944444444444443
11,1.0,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.8055555555555555
12,0.75,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.611111111111111
13,0.6666666666666666,1.0,0.8,0.8,0.8571428571428571,0.6666666666666666,0.6944444444444443
14,0.6,1.0,0.7499999999999999,1.0,0.7142857142857143,1.0,0.6944444444444443
15,1.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6944444444444443
16,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.7777777777777777
17,1.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.6666666666666666,0.6944444444444443
18,0.75,0.0,0.75,0.0,0.7142857142857143,0.6666666666666666,0.8055555555555555
19,0.75,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.611111111111111
20,0.75,1.0,0.75,1.0,0.7142857142857143,1.0,0.6944444444444445
21,0.75,0.6666666666666666,0.8571428571428571,0.8,0.8571428571428571,0.6666666666666666,0.6944444444444443
22,0.6666666666666666,1.0,0.8,0.8,0.8571428571428571,0.6666666666666666,0.6944444444444443
23,1.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6944444444444443
24,1.0,0.0,0.888888888888889,0.0,0.8571428571428571,0.6666666666666666,0.5833333333333333
25,1.0,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.8055555555555555
26,1.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6944444444444443
27,0.6,1.0,0.7499999999999999,1.0,0.7142857142857143,1.0,0.6944444444444443
28,1.0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6944444444444443
29,0.6,1.0,0.7499999999999999,1.0,0.7142857142857143,1.0,0.8055555555555555
